Order_Date,Order_DateN,Date,Year,Quarter,Quarter_Name,Month,Month_Name,Month_Name_Short,Week_Number,Weekday,Weekday_Name,Weekday_Name_Short
7/31/2012,2012-07-31,2012-07-31,2012.0,3,Q3,7,July,Jul,31,2,Tuesday,Tue
02-May-13 12:00:00 AM,2013-05-02,2013-05-02,2013.0,2,Q2,5,May,May,18,4,Thursday,Thu
10-Jun-12 12:00:00 AM,2012-06-10,2012-06-10,2012.0,2,Q2,6,June,Jun,23,7,Sunday,Sun
38380,,,,0,NaT,0,,,,0,,
11-May-13 12:00:00 AM,2013-05-11,2013-05-11,2013.0,2,Q2,5,May,May,19,6,Saturday,Sat
28-Jun-13 12:00:00 AM,2013-06-28,2013-06-28,2013.0,2,Q2,6,June,Jun,26,5,Friday,Fri
40735,,,,0,NaT,0,,,,0,,
04/14/2012,2012-04-14,2012-04-14,2012.0,2,Q2,4,April,Apr,15,6,Saturday,Sat
10/14/2014,2014-10-14,2014-10-14,2014.0,4,Q4,10,October,Oct,42,2,Tuesday,Tue
40936,,,,0,NaT,0,,,,0,,
40667,,,,0,NaT,0,,,,0,,
4/19/2012,2012-04-19,2012-04-19,2012.0,2,Q2,4,April,Apr,16,4,Thursday,Thu
27 December 2011,2011-12-27,2011-12-27,2011.0,4,Q4,12,December,Dec,52,2,Tuesday,Tue
11/13/2012,2012-11-13,2012-11-13,2012.0,4,Q4,11,November,Nov,46,2,Tuesday,Tue
06-Jun-13 12:00:00 AM,2013-06-06,2013-06-06,2013.0,2,Q2,6,June,Jun,23,4,Thursday,Thu
7/31/2014,2014-07-31,2014-07-31,2014.0,3,Q3,7,July,Jul,31,4,Thursday,Thu
41709,,,,0,NaT,0,,,,0,,
41860,,,,0,NaT,0,,,,0,,
1/31/2014,2014-01-31,2014-01-31,2014.0,1,Q1,1,January,Jan,5,5,Friday,Fri
41771,,,,0,NaT,0,,,,0,,
08-Aug-12 12:00:00 AM,2012-08-08,2012-08-08,2012.0,3,Q3,8,August,Aug,32,3,Wednesday,Wed
10/29/2011,2011-10-29,2011-10-29,2011.0,4,Q4,10,October,Oct,43,6,Saturday,Sat
40579,,,,0,NaT,0,,,,0,,
2/27/2013,2013-02-27,2013-02-27,2013.0,1,Q1,2,February,Feb,9,3,Wednesday,Wed
31 Jul 2014,2014-07-31,2014-07-31,2014.0,3,Q3,7,July,Jul,31,4,Thursday,Thu
41768,,,,0,NaT,0,,,,0,,
12/17/2011,2011-12-17,2011-12-17,2011.0,4,Q4,12,December,Dec,50,6,Saturday,Sat
3/14/2011,2011-03-14,2011-03-14,2011.0,1,Q1,3,March,Mar,11,1,Monday,Mon
41581,,,,0,NaT,0,,,,0,,
2/25/2012,2012-02-25,2012-02-25,2012.0,1,Q1,2,February,Feb,8,6,Saturday,Sat
28-Dec-11 12:00:00 AM,2011-12-28,2011-12-28,2011.0,4,Q4,12,December,Dec,52,3,Wednesday,Wed
